Time [ms], Temperature1 [C], Temperature2 [C], Temperature3 [C], Pressure1 [kPa], Pressure2 [kPa], Battery Voltage [V], Thermistor1 [C], Thermistor2 [C], N2O_SOL_STATE, N2_SOL_STATE
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-7.05,8.406,0,0,0,0,0
0,0,0,0,-6.42,-6.42,0,0,0,0,0
0,0,0,0,-6.756,-6.504,0,0,0,0,0
0,0,0,0,-6.756,-6.504,0,0,0,0,0
0,0,0,0,-6.462,-6.924,0,0,0,0,0
0,0,0,0,-5.286,-6.42,0,0,0,0,0
0,0,0,0,-6.63,-6.756,0,0,0,0,0
55,0,0,0,-6.462,-6.462,0,0,0,0,0
63,0,0,0,-6.294,-6.42,0,0,0,0,0
73,0,0,0,-6.504,-6.672,0,0,0,0,0
83,0,0,0,-5.874,-6.378,0,0,0,0,0
93,0,0,0,-6.378,-6.63,0,0,0,0,0
103,0,0,0,-5.832,-6.504,0,0,0,0,0
113,0,0,0,-6.126,-6.504,0,0,0,0,0
123,0,0,0,-5.748,-6.378,0,0,0,0,0
133,0,0,0,-6.42,-6.462,0,0,0,0,0
143,0,0,0,-5.79,-6.378,0,0,0,0,0
153,0,0,0,-6.378,-6.378,0,0,0,0,0
163,0,0,0,-5.832,-6.378,0,0,0,0,0
173,0,0,0,-6.084,-6.378,0,0,0,0,0
183,0,0,0,-5.412,-6.378,0,0,0,0,0
193,0,0,0,-6.336,-6.504,0,0,0,0,0
203,0,0,0,-5.79,-6.378,0,0,0,0,0
213,0,0,0,-6.378,-6.42,0,0,0,0,0
223,0,0,0,-5.79,-6.378,0,0,0,0,0
233,0,0,0,-6.462,-6.588,0,0,0,0,0
243,0,0,0,-5.832,-6.504,0,0,0,0,0
253,0,0,0,-6.378,-6.42,0,0,0,0,0
263,0,0,0,-6.294,-6.378,0,0,0,0,0
273,0,0,0,-6.42,-6.462,0,0,0,0,0
283,0,0,0,-6.084,-6.378,0,0,0,0,0
293,0,0,0,-6.378,-6.504,0,0,0,0,0
303,0,0,0,-5.79,-6.378,0,0,0,0,0
313,0,0,0,-6.294,-6.378,0,0,0,0,0
323,0,0,0,-6,-6.378,0,0,0,0,0
333,0,0,0,-6.588,-6.546,0,0,0,0,0
343,0,0,0,-6,-6.378,0,0,0,0,0
353,0,0,0,-6.168,-6.588,0,0,0,0,0
363,0,0,0,-5.286,-6.588,0,0,0,0,0
373,0,0,0,-6.126,-6.504,0,0,0,0,0
383,0,0,0,-5.496,-6.378,0,0,0,0,0
393,0,0,0,-5.958,-6.378,0,0,0,0,0
403,0,0,0,-5.916,-6.378,0,0,0,0,0
413,0,0,0,-5.958,-6.546,0,0,0,0,0
423,0,0,0,-5.58,-6.546,0,0,0,0,0
433,0,0,0,-6.042,-6.462,0,0,0,0,0
444,0,0,0,-5.79,-6.378,0,0,0,0,0
453,0,0,0,-6.294,-6.378,0,0,0,0,0
463,0,0,0,-5.706,-6.378,0,0,0,0,0
473,0,0,0,-6,-6.588,0,0,0,0,0
483,0,0,0,-5.748,-6.378,0,0,0,0,0
493,0,0,0,-6,-6.462,0,0,0,0,0
503,0,0,0,-5.538,-6.42,0,0,0,0,0
513,0,0,0,-6.042,-6.672,0,0,0,0,0
523,0,0,0,-5.958,-6.378,0,0,0,0,0
533,0,0,0,-6.084,-6.546,0,0,0,0,0
543,0,0,0,-5.496,-6.378,0,0,0,0,0
553,0,0,0,-5.664,-6.504,0,0,0,0,0
563,0,0,0,-5.706,-6.378,0,0,0,0,0
573,0,0,0,-6.378,-6.63,0,0,0,0,0
583,0,0,0,-5.622,-6.378,0,0,0,0,0
593,0,0,0,-5.958,-6.378,0,0,0,0,0
603,0,0,0,-5.79,-6.462,0,0,0,0,0
613,0,0,0,-6.294,-6.42,0,0,0,0,0
623,0,0,0,-6.336,-6.546,0,0,0,0,0
633,0,0,0,-6.084,-6.588,0,0,0,0,0
643,0,0,0,-6,-6.504,0,0,0,0,0
653,0,0,0,-6.378,-6.588,0,0,0,0,0
663,0,0,0,-5.916,-6.378,0,0,0,0,0
673,0,0,0,-6.336,-6.63,0,0,0,0,0
683,0,0,0,-6.126,-6.378,0,0,0,0,0
693,0,0,0,-6.336,-6.63,0,0,0,0,0
703,0,0,0,-5.496,-6.462,0,0,0,0,0
713,0,0,0,-6.21,-6.42,0,0,0,0,0
723,0,0,0,-5.454,-6.462,0,0,0,0,0
733,0,0,0,-5.538,-6.546,0,0,0,0,0
743,0,0,0,-5.034,-6.378,0,0,0,0,0
753,0,0,0,-5.664,-6.462,0,0,0,0,0
763,0,0,0,-5.58,-6.378,0,0,0,0,0
773,0,0,0,-5.916,-6.42,0,0,0,0,0
783,0,0,0,-5.916,-6.462,0,0,0,0,0
793,0,0,0,-6.168,-7.008,0,0,0,0,0
803,0,0,0,-5.244,-6.84,0,0,0,0,0
813,0,0,0,-6.126,-6.924,0,0,0,0,0
823,0,0,0,-6,-6.924,0,0,0,0,0
833,0,0,0,-6.336,-6.966,0,0,0,0,0
843,0,0,0,-6.252,-7.008,0,0,0,0,0
853,0,0,0,-6.378,-7.008,0,0,0,0,0
863,0,0,0,-6.084,-6.924,0,0,0,0,0
873,0,0,0,-6.462,-7.008,0,0,0,0,0
883,0,0,0,-6.21,-6.882,0,0,0,0,0
893,0,0,0,-6.294,-6.924,0,0,0,0,0
903,0,0,0,-5.664,-6.882,0,0,0,0,0
913,0,0,0,-5.58,-6.84,0,0,0,0,0
923,0,0,0,-5.034,-6.84,0,0,0,0,0
933,0,0,0,-5.958,-6.924,0,0,0,0,0
943,0,0,0,-5.748,-7.05,0,0,0,0,0
953,0,0,0,-6.378,-6.924,0,0,0,0,0
963,0,0,0,-5.832,-6.966,0,0,0,0,0
973,0,0,0,-6.252,-6.924,1.23299,743.59998,224.36,0,0
983,0,0,0,-6,-6.672,1.23299,743.59998,224.36,0,0
993,0,0,0,-6.378,-6.798,1.23299,743.59998,224.36,0,0
1003,0,0,0,-6.168,-6.882,1.23299,743.59998,224.36,0,0
1013,0,0,0,-6.504,-6.84,1.23299,743.59998,224.36,0,0
1023,0,0,0,-5.958,-6.924,1.23299,743.59998,224.36,0,0
1033,0,0,0,-5.958,-6.84,1.23299,743.59998,224.36,0,0
1043,0,0,0,-5.706,-6.882,1.23299,743.59998,224.36,0,0
1053,0,0,0,-6.21,-6.924,1.23299,743.59998,224.36,0,0
1063,0,0,0,-5.958,-6.966,1.23299,743.59998,224.36,0,0
1073,0,0,0,-6.294,-7.05,1.23299,743.59998,224.36,0,0
1083,0,0,0,-5.916,-7.05,1.23299,743.59998,224.36,0,0
1093,0,0,0,-6.336,-7.05,1.23299,743.59998,224.36,0,0
1103,0,0,0,-5.832,-6.966,1.23299,743.59998,224.36,0,0
1113,0,0,0,-6.252,-7.008,1.23299,743.59998,224.36,0,0
1123,0,0,0,-5.832,-6.84,1.23299,743.59998,224.36,0,0
1133,0,0,0,-5.79,-6.924,1.23299,743.59998,224.36,0,0
1143,0,0,0,-5.664,-6.924,1.23299,743.59998,224.36,0,0
1153,0,0,0,-6.252,-6.882,1.23299,743.59998,224.36,0,0
1163,0,0,0,-6.252,-7.05,1.23299,743.59998,224.36,0,0
1173,0,0,0,-6.378,-6.882,1.23299,743.59998,224.36,0,0
1183,0,0,0,-6.252,-6.84,1.23299,743.59998,224.36,0,0
1193,0,0,0,-6.336,-6.966,1.23299,743.59998,224.36,0,0
1203,0,0,0,-6,-6.924,1.23299,743.59998,224.36,0,0
1213,0,0,0,-6.42,-7.008,1.23299,743.59998,224.36,0,0
1223,0,0,0,-6.252,-6.966,1.23299,743.59998,224.36,0,0
1233,0,0,0,-6.378,-6.966,1.23299,743.59998,224.36,0,0
1243,0,0,0,-6.21,-7.008,1.23299,743.59998,224.36,0,0
1253,0,0,0,-6.378,-7.05,1.23299,743.59998,224.36,0,0
1263,0,0,0,-6.378,-7.05,1.23299,743.59998,224.36,0,0
1273,0,0,0,-6.378,-6.798,1.23299,743.59998,224.36,0,0
1283,0,0,0,-6.378,-7.008,1.23299,743.59998,224.36,0,0
1293,0,0,0,-6.462,-6.882,1.23299,743.59998,224.36,0,0
1303,0,0,0,-6.042,-6.966,1.23299,743.59998,224.36,1,0
1313,0,0,0,-6.084,-6.798,1.23299,743.59998,224.36,1,0
1323,0,0,0,-5.748,-6.588,1.23299,743.59998,224.36,1,0
1333,0,0,0,-6.21,-6.504,1.23299,743.59998,224.36,1,0
1343,0,0,0,-5.706,-6.588,1.23299,743.59998,224.36,1,0
1353,0,0,0,-6.336,-6.672,1.23299,743.59998,224.36,1,0
1363,0,0,0,-6.21,-6.798,1.23299,743.59998,224.36,1,0
1373,0,0,0,-6.378,-6.756,1.23299,743.59998,224.36,1,0
1383,0,0,0,-6.252,-6.588,1.23299,743.59998,224.36,1,0
1393,0,0,0,-6.378,-6.546,1.23299,743.59998,224.36,1,0
1403,0,0,0,-6.168,-6.63,1.23299,743.59998,224.36,1,0
1413,0,0,0,-6.42,-6.42,1.23299,743.59998,224.36,1,0
1423,0,0,0,-5.748,-6.63,1.23299,743.59998,224.36,1,0
1433,0,0,0,-5.706,-6.462,1.23299,743.59998,224.36,1,0
1443,0,0,0,-5.958,-6.588,1.23299,743.59998,224.36,1,0
1453,0,0,0,-6.462,-6.42,1.23299,743.59998,224.36,1,0
1463,0,0,0,-6.378,-6.588,1.23299,743.59998,224.36,1,0
1473,0,0,0,-6.126,-6.378,1.23299,743.59998,224.36,1,0
1483,0,0,0,-5.874,-6.504,1.23299,743.59998,224.36,1,0
1493,0,0,0,-6.126,-6.462,1.23299,743.59998,224.36,1,0
1503,0,0,0,-6.168,-6.63,1.23299,743.59998,224.36,1,0
1513,0,0,0,-6.336,-6.588,1.23299,743.59998,224.36,1,0
1523,0,0,0,-5.832,-7.05,1.23299,743.59998,224.36,1,0
1533,0,0,0,-6.336,-6.504,1.23299,743.59998,224.36,1,0
1543,0,0,0,-6.378,-6.672,1.23299,743.59998,224.36,1,0
1553,0,0,0,-6.504,-6.546,1.23299,743.59998,224.36,1,0
1563,0,0,0,-5.79,-6.378,1.23299,743.59998,224.36,1,0
1573,0,0,0,-6.126,-6.588,1.23299,743.59998,224.36,1,0
1583,0,0,0,-5.916,-6.756,1.23299,743.59998,224.36,1,0
1593,0,0,0,-6.294,-6.63,1.23299,743.59998,224.36,1,0
1603,0,0,0,-5.664,-6.798,1.23299,743.59998,224.36,1,0
1613,0,0,0,-6.252,-6.546,1.23299,743.59998,224.36,1,0
1623,0,0,0,-5.916,-6.672,1.23299,743.59998,224.36,1,0
1633,0,0,0,-5.874,-6.504,1.23299,743.59998,224.36,1,0
1643,0,0,0,-6,-6.672,1.23299,743.59998,224.36,1,0
1653,0,0,0,-5.622,-6.546,1.23299,743.59998,224.36,1,0
1663,0,0,0,-5.916,-6.84,1.23299,743.59998,224.36,1,0
1673,0,0,0,-5.958,-6.588,1.23299,743.59998,224.36,1,0
1683,0,0,0,-5.58,-6.63,1.23299,743.59998,224.36,1,0
1693,0,0,0,-5.916,-6.63,1.23299,743.59998,224.36,1,0
1703,0,0,0,-5.748,-6.756,1.23299,743.59998,224.36,1,0
1713,0,0,0,-5.958,-6.462,1.23299,743.59998,224.36,1,0
1723,0,0,0,-5.832,-6.588,1.23299,743.59998,224.36,1,0
1733,0,0,0,-6.336,-6.63,1.23299,743.59998,224.36,1,0
1743,0,0,0,-5.874,-6.672,1.23299,743.59998,224.36,1,0
1753,0,0,0,-5.454,-6.588,1.23299,743.59998,224.36,1,0
1763,0,0,0,-5.412,-6.714,1.23299,743.59998,224.36,1,0
1773,0,0,0,-5.706,-6.42,1.23299,743.59998,224.36,1,0
1783,0,0,0,-6,-6.63,1.23299,743.59998,224.36,1,0
1793,0,0,0,-6.252,-6.588,1.23299,743.59998,224.36,1,0
1803,0,0,0,-6.21,-6.798,1.23299,743.59998,224.36,1,0
1813,0,0,0,-6.462,-6.84,1.23299,743.59998,224.36,1,0
1823,0,0,0,-6.336,-7.05,1.23299,743.59998,224.36,1,0
1833,0,0,0,-6.336,-6.588,1.23299,743.59998,224.36,1,0
1843,0,0,0,-5.622,-6.756,1.23299,743.59998,224.36,1,0
1853,0,0,0,-5.916,-6.588,1.23299,743.59998,224.36,1,0
1863,0,0,0,-5.706,-6.672,1.23299,743.59998,224.36,1,0
1873,0,0,0,-6.336,-7.05,1.23299,743.59998,224.36,1,1
1883,0,0,0,-5.958,-7.05,1.23299,743.59998,224.36,1,1
1893,0,0,0,-6.126,-6.966,1.23299,743.59998,224.36,1,1
1903,0,0,0,-6.252,-7.05,1.23299,743.59998,224.36,1,1
1913,0,0,0,-6.378,-6.924,1.23299,743.59998,224.36,1,1
1923,0,0,0,-6.084,-7.008,1.23299,743.59998,224.36,1,1
1933,0,0,0,-6.546,-7.05,1.23299,743.59998,224.36,1,1
1943,0,0,0,-6.336,-7.05,1.23299,743.59998,224.36,1,1
1953,0,0,0,-6.63,-7.05,1.23299,743.59998,224.36,1,1
1963,0,0,0,-6.378,-7.05,1.23299,743.59998,224.36,1,1
1973,0,0,0,-6.588,-6.966,1.21599,846.29999,224.36,1,1
1983,0,0,0,-6.378,-6.966,1.21599,846.29999,224.36,1,1
1993,0,0,0,-6.462,-6.798,1.21599,846.29999,224.36,1,1
2003,0,0,0,-6,-7.05,1.21599,846.29999,224.36,1,1
2013,0,0,0,-6.21,-6.798,1.21599,846.29999,224.36,1,1
2023,0,0,0,-5.832,-6.966,1.21599,846.29999,224.36,1,1
2033,0,0,0,-6.168,-7.05,1.21599,846.29999,224.36,1,1
2043,0,0,0,-6.378,-7.008,1.21599,846.29999,224.36,1,1
2053,0,0,0,-6.252,-7.05,1.21599,846.29999,224.36,1,1
2063,0,0,0,-6.168,-7.05,1.21599,846.29999,224.36,1,1
2073,0,0,0,-6.336,-6.966,1.21599,846.29999,224.36,1,1
2083,0,0,0,-6.294,-7.05,1.21599,846.29999,224.36,1,1
